time,similarity,gateways,collaborators
2019-05-05 23:28:48,0.9359999999999999,8.0,5.0
2019-05-05 23:28:49,0.95,8.0,6.0
2019-05-05 23:28:53,0.922,8.0,6.0
2019-05-05 23:28:56,0.961,8.0,6.0
2019-05-05 23:29:00,0.907,7.0,6.0
2019-05-05 23:29:03,0.924,8.0,6.0
2019-05-05 23:29:06,0.953,8.0,6.0
2019-05-05 23:29:14,0.902,9.0,6.0
2019-05-05 23:29:18,0.961,8.0,6.0
2019-05-05 23:29:21,0.9259999999999999,8.0,6.0
2019-05-05 23:29:24,0.9129999999999999,9.0,6.0
2019-05-05 23:29:28,0.92,9.0,6.0
2019-05-05 23:29:31,0.889,7.0,4.0
2019-05-05 23:29:37,0.9259999999999999,9.0,6.0
2019-05-05 23:29:40,0.9470000000000001,7.0,6.0
2019-05-05 23:29:42,0.978,8.0,6.0
2019-05-05 23:29:46,0.932,4.0,2.0
2019-05-05 23:29:52,0.93,6.0,3.0
2019-05-05 23:29:55,0.948,10.0,6.0
2019-05-05 23:29:59,0.9109999999999999,8.0,5.0
2019-05-05 23:30:02,0.9490000000000001,8.0,6.0
2019-05-05 23:30:05,0.9390000000000001,7.5,4.5
2019-05-05 23:30:07,0.599,9.0,6.0
2019-05-05 23:30:09,0.927,8.0,6.0
2019-05-05 23:30:10,0.996,8.0,6.0
2019-05-05 23:30:13,0.9404999999999999,7.5,6.0
2019-05-05 23:30:15,0.9279999999999999,9.0,5.0
2019-05-05 23:30:16,0.9159999999999999,7.0,5.0
2019-05-05 23:30:18,0.951,9.0,5.0
2019-05-05 23:30:19,0.977,8.0,6.0
2019-05-05 23:30:23,0.9009999999999999,7.0,6.0
2019-05-05 23:30:26,0.9890000000000001,9.0,6.0
2019-05-05 23:30:30,0.972,9.0,6.0
2019-05-05 23:30:33,0.922,9.0,6.0
2019-05-05 23:30:36,0.973,8.0,6.0
2019-05-05 23:30:44,0.9840000000000001,8.0,6.0
2019-05-05 23:30:48,0.938,8.0,6.0
2019-05-05 23:30:51,0.934,9.0,6.0
2019-05-05 23:30:54,0.922,9.0,6.0
2019-05-05 23:30:58,0.966,8.0,6.0
2019-05-05 23:31:01,0.903,7.0,4.0
2019-05-05 23:31:07,0.9540000000000001,10.0,6.0
2019-05-05 23:31:09,0.938,8.0,6.0
2019-05-05 23:31:12,0.9490000000000001,10.0,6.0
2019-05-05 23:31:16,0.9940000000000001,7.0,2.0
2019-05-05 23:31:22,0.9990000000000001,5.0,3.0
2019-05-05 23:31:25,0.9670000000000001,9.0,6.0
2019-05-05 23:31:29,0.972,9.0,5.0
2019-05-05 23:31:32,0.99,8.0,6.0
2019-05-05 23:31:35,0.9510000000000001,7.0,4.5
2019-05-05 23:31:37,0.968,10.0,6.0
2019-05-05 23:31:40,0.9470000000000001,9.0,6.0
2019-05-05 23:31:43,0.9545000000000001,8.5,6.0
2019-05-05 23:31:45,0.997,6.0,5.0
2019-05-05 23:31:46,0.9179999999999999,7.0,5.0
2019-05-05 23:31:48,0.924,8.0,5.0
2019-05-05 23:31:49,0.9690000000000001,9.0,6.0
2019-05-05 23:31:53,0.915,8.0,6.0
2019-05-05 23:31:56,0.9359999999999999,8.0,6.0
2019-05-05 23:32:00,0.9209999999999999,9.0,6.0
2019-05-05 23:32:03,0.953,8.0,6.0
2019-05-05 23:32:06,0.889,7.0,6.0
2019-05-05 23:32:14,0.991,8.0,6.0
2019-05-05 23:32:18,0.9790000000000001,9.0,6.0
2019-05-05 23:32:21,0.9229999999999999,9.0,6.0
2019-05-05 23:32:24,0.9209999999999999,10.0,6.0
2019-05-05 23:32:28,0.9790000000000001,10.0,6.0
2019-05-05 23:32:31,0.8959999999999999,10.0,4.0
2019-05-05 23:32:37,0.946,9.0,6.0
2019-05-05 23:32:39,0.97,8.0,6.0
2019-05-05 23:32:43,0.982,9.0,6.0
2019-05-05 23:32:46,0.988,7.0,2.0
2019-05-05 23:32:52,0.905,6.0,3.0
2019-05-05 23:32:55,0.978,7.0,6.0
2019-05-05 23:32:59,0.9329999999999999,7.0,5.0
2019-05-05 23:33:02,0.99,8.0,6.0
2019-05-05 23:33:05,0.9390000000000001,8.0,4.5
2019-05-05 23:33:07,0.975,8.0,6.0
2019-05-05 23:33:10,0.9585,8.0,6.0
2019-05-05 23:33:13,0.9309999999999999,9.0,6.0
2019-05-05 23:33:15,0.93,9.0,5.0
2019-05-05 23:33:16,0.895,6.0,5.0
2019-05-05 23:33:18,0.9620000000000001,8.0,5.0
2019-05-05 23:33:19,0.965,8.0,6.0
2019-05-05 23:33:23,0.9390000000000001,9.0,6.0
2019-05-05 23:33:26,0.97,10.0,6.0
2019-05-05 23:33:30,0.98,9.0,6.0
2019-05-05 23:33:33,0.943,9.0,6.0
2019-05-05 23:33:36,0.953,9.0,6.0
2019-05-05 23:33:44,0.991,8.0,6.0
2019-05-05 23:33:48,0.9329999999999999,10.0,6.0
2019-05-05 23:33:51,0.909,9.0,6.0
2019-05-05 23:33:54,0.9359999999999999,10.0,6.0
2019-05-05 23:33:58,0.968,10.0,6.0
2019-05-05 23:34:01,0.925,8.0,4.0
2019-05-05 23:34:07,0.9279999999999999,9.0,6.0
2019-05-05 23:34:09,0.975,8.0,6.0
2019-05-05 23:34:12,0.9740000000000001,9.0,6.0
2019-05-05 23:34:16,0.8909999999999999,7.0,2.0
2019-05-05 23:34:22,0.927,7.0,3.0
2019-05-05 23:34:25,0.993,7.0,6.0
2019-05-05 23:34:29,0.958,8.0,5.0
2019-05-05 23:34:32,0.9990000000000001,5.0,6.0
2019-05-05 23:34:35,0.9205000000000001,7.0,4.5
2019-05-05 23:34:37,0.9840000000000001,8.0,6.0
2019-05-05 23:34:40,0.9595,8.5,6.0
2019-05-05 23:34:43,0.9650000000000001,7.5,6.0
2019-05-05 23:34:45,0.95,7.0,5.0
2019-05-05 23:34:46,0.924,7.0,5.0
2019-05-05 23:34:48,0.934,7.0,5.0
2019-05-05 23:34:49,0.929,8.0,6.0
2019-05-05 23:34:53,0.9129999999999999,9.0,6.0
2019-05-05 23:34:56,0.9329999999999999,8.0,6.0
2019-05-05 23:35:00,0.929,9.0,6.0
2019-05-05 23:35:03,0.91,8.0,6.0
2019-05-05 23:35:06,0.9420000000000001,9.0,6.0
2019-05-05 23:35:14,0.915,7.0,6.0
2019-05-05 23:35:18,0.929,9.0,6.0
2019-05-05 23:35:21,0.946,8.0,6.0
2019-05-05 23:35:24,0.943,9.0,6.0
2019-05-05 23:35:28,0.993,10.0,6.0
2019-05-05 23:35:31,0.9109999999999999,8.0,4.0
2019-05-05 23:35:37,0.9420000000000001,8.0,6.0
2019-05-05 23:35:39,0.991,9.0,6.0
2019-05-05 23:35:42,0.935,8.0,6.0
2019-05-05 23:35:46,0.988,4.0,2.0
2019-05-05 23:35:52,0.922,6.0,3.0
2019-05-05 23:35:55,0.973,8.0,6.0
2019-05-05 23:35:59,0.966,9.0,5.0
2019-05-05 23:36:02,0.95,7.0,6.0
2019-05-05 23:36:05,0.9225,8.0,4.5
2019-05-05 23:36:07,0.985,7.0,6.0
2019-05-05 23:36:10,0.959,8.5,6.0
2019-05-05 23:36:13,0.9195,8.5,6.0
2019-05-05 23:36:15,0.902,9.0,5.0
2019-05-05 23:36:16,0.789,8.0,5.0
2019-05-05 23:36:18,0.9390000000000001,9.0,5.0
2019-05-05 23:36:19,0.904,10.0,6.0
2019-05-05 23:36:23,0.943,8.0,6.0
2019-05-05 23:36:26,0.951,8.0,6.0
2019-05-05 23:36:30,0.953,8.0,6.0
2019-05-05 23:36:33,0.9590000000000001,9.0,6.0
2019-05-05 23:36:36,0.917,10.0,6.0
2019-05-05 23:36:44,0.9690000000000001,8.0,6.0
2019-05-05 23:36:48,0.9640000000000001,8.0,6.0
2019-05-05 23:36:51,0.9590000000000001,8.0,6.0
2019-05-05 23:36:54,0.905,10.0,6.0
2019-05-05 23:36:58,0.9840000000000001,10.0,6.0
2019-05-05 23:37:01,0.892,8.0,4.0
2019-05-05 23:37:07,0.9740000000000001,6.0,6.0
2019-05-05 23:37:09,1.0,7.0,6.0
2019-05-05 23:37:12,0.946,6.0,6.0
2019-05-05 23:37:16,0.988,5.0,2.0
2019-05-05 23:37:22,0.904,7.0,3.0
2019-05-05 23:37:25,0.9690000000000001,9.0,6.0
2019-05-05 23:37:29,0.9470000000000001,7.0,5.0
2019-05-05 23:37:32,0.991,8.0,6.0
2019-05-05 23:37:35,0.938,7.5,4.5
2019-05-05 23:37:37,0.982,9.0,6.0
2019-05-05 23:37:40,0.9455,8.0,6.0
2019-05-05 23:37:43,0.9495,8.0,6.0
2019-05-05 23:37:45,0.971,8.0,5.0
2019-05-05 23:37:46,0.894,10.0,5.0
2019-05-05 23:37:48,0.9390000000000001,8.0,5.0
2019-05-05 23:37:49,0.9840000000000001,9.0,6.0
2019-05-05 23:37:53,0.93,10.0,6.0
2019-05-05 23:37:56,0.91,9.0,6.0
2019-05-05 23:38:00,0.9620000000000001,9.0,6.0
2019-05-05 23:38:03,0.9840000000000001,8.0,6.0
2019-05-05 23:38:06,0.92,9.0,6.0
2019-05-05 23:38:14,1.0,8.0,6.0
2019-05-05 23:38:18,0.981,7.0,6.0
2019-05-05 23:38:21,0.9540000000000001,8.0,6.0
2019-05-05 23:38:24,0.932,10.0,6.0
2019-05-05 23:38:28,0.976,10.0,6.0
2019-05-05 23:38:31,0.878,7.0,4.0
2019-05-05 23:38:37,0.9640000000000001,10.0,6.0
2019-05-05 23:38:39,0.988,7.0,6.0
2019-05-05 23:38:42,0.9440000000000001,9.0,6.0
2019-05-05 23:38:46,0.927,6.0,2.0
2019-05-05 23:38:52,0.9540000000000001,6.0,3.0
2019-05-05 23:38:55,0.982,8.0,6.0
2019-05-05 23:38:59,0.94,8.0,5.0
2019-05-05 23:39:02,0.987,8.0,6.0
2019-05-05 23:39:05,0.9535,8.5,4.5
2019-05-05 23:39:07,0.986,9.0,6.0
2019-05-05 23:39:10,0.9610000000000001,9.0,6.0
2019-05-05 23:39:13,0.949,8.5,6.0
2019-05-05 23:39:15,0.9420000000000001,9.0,5.0
2019-05-05 23:39:16,0.922,7.0,5.0
2019-05-05 23:39:18,0.9540000000000001,9.0,5.0
2019-05-05 23:39:19,0.9840000000000001,8.0,6.0
2019-05-05 23:39:23,0.9229999999999999,10.0,6.0
2019-05-05 23:39:26,0.884,9.0,6.0
2019-05-05 23:39:33,0.914,9.0,6.0
2019-05-05 23:39:36,0.953,9.0,6.0
2019-05-05 23:39:44,0.972,9.0,6.0
2019-05-05 23:39:48,0.919,9.0,6.0
2019-05-05 23:39:51,0.929,8.0,6.0
2019-05-05 23:39:54,0.9640000000000001,9.0,6.0
2019-05-05 23:40:01,0.878,7.0,4.0
2019-05-05 23:40:07,0.96,9.0,6.0
2019-05-05 23:40:09,0.975,8.0,6.0
2019-05-05 23:40:12,0.932,9.0,6.0
2019-05-05 23:40:16,0.9570000000000001,4.0,2.0
2019-05-05 23:40:22,0.855,6.0,3.0
2019-05-05 23:40:25,0.9940000000000001,9.0,6.0
2019-05-05 23:40:29,0.938,10.0,5.0
2019-05-05 23:40:32,0.978,8.0,6.0
2019-05-05 23:40:35,0.9990000000000001,8.0,6.0
2019-05-05 23:40:37,0.909,10.0,6.0
2019-05-05 23:40:40,0.9665000000000001,9.0,6.0
2019-05-05 23:40:43,0.929,9.0,6.0
2019-05-05 23:40:45,0.946,9.0,5.0
2019-05-05 23:40:46,0.89,7.0,5.0
2019-05-05 23:40:48,0.9570000000000001,9.0,5.0
2019-05-05 23:40:49,0.98,8.0,6.0
2019-05-05 23:40:53,0.9259999999999999,9.0,6.0
2019-05-05 23:40:56,0.9740000000000001,8.0,6.0
2019-05-05 23:41:03,0.94,8.0,6.0
2019-05-05 23:41:06,0.976,8.0,6.0
2019-05-05 23:41:14,0.998,7.0,6.0
2019-05-05 23:41:18,0.938,9.0,6.0
2019-05-05 23:41:21,0.9329999999999999,8.0,6.0
2019-05-05 23:41:24,0.946,9.0,6.0
2019-05-05 23:41:31,0.904,7.0,4.0
2019-05-05 23:41:37,0.963,8.0,6.0
2019-05-05 23:41:39,0.9790000000000001,8.0,6.0
2019-05-05 23:41:43,0.986,8.0,6.0
2019-05-05 23:41:46,1.0,1.0,1.0
